,long,lat,Area,Began,Ended,Soil,hourly_precip_mean,hourly_precip_std,hourly_runoff_mean,hourly_runoff_std,Real?,sand,silt,clay
0,143.6978,-31.268059,468962.971,2000-02-18,3/1/2000,86.0,0.0002416203642496,0.0009072032989934,2.553436570451595e-05,0.0003350122715346,True,0.105,0.478,0.417
1,105.063841,11.242567,119919.5595,2000-07-11,8/10/2000,31.0,0.0005388370482251,0.0008273913408629,0.0001446938695153,0.0004511279985308,True,0.003,0.246,0.751
2,113.483009,25.229313,25899.57821,2000-09-01,9/6/2000,4.0,0.0008870422607287,0.0022705395240336,0.0004175354260951,0.0014510749606415,True,0.478,0.466,0.056
3,88.5453,24.084064,155000.8817,2000-09-18,10/21/2000,31.0,0.0012321211397647,0.0021040521096438,0.0007196484948508,0.0018813476199284,True,0.003,0.246,0.751
4,84.798732,21.055916,105057.2949,2001-07-08,8/10/2001,50.0,0.0011058609234169,0.0017608912894502,0.0004706804757006,0.001208675908856,True,0.91,0.03,0.06
5,34.427661,14.996666,557928.1071,2001-08-06,9/13/2001,86.0,0.0002356990444241,0.0006686903652735,6.31451839581132e-05,0.0002299823390785,True,0.105,0.478,0.417
6,16.260548,9.326659,104251.7308,2001-08-19,10/11/2001,43.0,0.0002790132712107,0.0007146305870264,4.1639606934040785e-05,0.0001873414439614,True,0.349,0.266,0.385
7,105.382431,11.768371,74458.22116,2001-08-15,11/19/2001,31.0,0.0003734946949407,0.0007969762082211,8.492567576467991e-05,0.0002413345791865,True,0.003,0.246,0.751
8,83.051328,26.755588,35442.05965,2001-08-20,9/11/2001,8.0,0.000557409832254,0.0013404572382569,0.0001716868282528,0.0007681951392441,True,0.102,0.447,0.451
9,84.869961,26.532079,30123.9464,2001-09-07,9/24/2001,12.0,0.0008762939833104,0.0018300751689821,0.0005659618182107,0.0015112597029656,True,0.372,0.252,0.376
10,-9.227085,10.549334,264055.3911,2001-08-18,10/9/2001,50.0,0.0001521680678706,0.0006644286913797,4.036882455693558e-05,0.0003631497966125,True,0.91,0.03,0.06
11,-61.214816,-32.897203,627890.7693,2001-10-01,12/1/2001,38.0,0.0005283679929561,0.0011488110758364,8.855529449647292e-05,0.0003627271507866,True,0.033,0.65,0.317
12,42.508939,0.491533,3907.324849,2001-11-01,11/14/2001,41.0,0.0002564070164225,0.0010501240612939,1.472850635764189e-05,0.0001552573958178,True,0.396,0.431,0.173
13,-89.868418,35.18328,132283.2401,2001-11-28,12/7/2001,31.0,0.0007261441787704,0.0013462867354974,0.0001047701953211,0.0004287563206162,True,0.003,0.246,0.751
14,-91.79578,34.93086,45272.8891,2001-12-17,12/25/2001,30.0,0.0010716919787228,0.0018734418554231,0.0003552040434442,0.0010066700633615,True,0.3,0.47,0.23
15,-50.481932,-11.878068,139112.7861,2002-01-15,4/2/2002,5.0,0.0004316310805734,0.0009717147913761,0.0003208780835848,0.000323861837387,True,0.76,0.13,0.11
16,43.063067,7.310603,282524.6533,2002-04-16,4/21/2002,74.0,0.0004388974630273,0.0012628743425011,3.82277685275767e-05,0.0002867886796593,True,0.068,0.708,0.224
17,33.544103,-0.075707,1111282.616,2002-04-26,5/28/2002,1.0,0.0001026179888867,0.0004536311607807,3.427679985179566e-05,0.0002218509034719,True,0.886,0.07,0.044
18,-88.288297,39.195432,257337.9671,2002-05-07,6/8/2002,39.0,0.0003300191892776,0.0010976387420669,0.0001053195665008,0.000350494578015,True,0.039,0.764,0.197
